数值,数量,百分比,累计数量,累计百分比
40,93,0.47%,17633,89.16%
40.1,1,0.01%,17634,89.16%
40.1,81,0.41%,17715,89.57%
40.2,73,0.37%,17788,89.94%
40.3,45,0.23%,17833,90.17%
40.4,48,0.24%,17881,90.41%
40.5,59,0.30%,17940,90.71%
40.6,55,0.28%,17995,90.99%
40.7,49,0.25%,18044,91.24%
40.8,24,0.12%,18068,91.36%
40.9,55,0.28%,18123,91.64%
40.9,1,0.01%,18124,91.64%
41,70,0.35%,18194,92.00%
41.1,58,0.29%,18252,92.29%
41.2,25,0.13%,18277,92.42%
41.3,29,0.15%,18306,92.56%
41.4,33,0.17%,18339,92.73%
41.5,38,0.19%,18377,92.92%
41.6,45,0.23%,18422,93.15%
41.7,32,0.16%,18454,93.31%
41.8,15,0.08%,18469,93.39%
41.9,24,0.12%,18493,93.51%
42,33,0.17%,18526,93.67%
42.1,39,0.20%,18565,93.87%
42.2,18,0.09%,18583,93.96%
42.3,20,0.10%,18603,94.06%
42.4,20,0.10%,18623,94.16%
42.5,17,0.09%,18640,94.25%
42.6,28,0.14%,18668,94.39%
42.7,20,0.10%,18688,94.49%
42.8,19,0.10%,18707,94.59%
42.9,28,0.14%,18735,94.73%
43,18,0.09%,18753,94.82%
43.1,29,0.15%,18782,94.97%
43.2,18,0.09%,18800,95.06%
43.3,21,0.11%,18821,95.17%
43.4,1,0.01%,18822,95.17%
43.4,22,0.11%,18844,95.28%
43.5,12,0.06%,18856,95.34%
43.6,18,0.09%,18874,95.43%
43.7,13,0.07%,18887,95.50%
43.8,7,0.04%,18894,95.54%
43.9,20,0.10%,18914,95.64%
44,16,0.08%,18930,95.72%
44.1,22,0.11%,18952,95.83%
44.2,12,0.06%,18964,95.89%
44.3,18,0.09%,18982,95.98%
44.4,10,0.05%,18992,96.03%
44.5,15,0.08%,19007,96.11%
44.6,10,0.05%,19017,96.16%
44.7,8,0.04%,19025,96.20%
44.8,13,0.07%,19038,96.26%
44.9,11,0.06%,19049,96.32%
45,9,0.05%,19058,96.36%
45.1,15,0.08%,19073,96.44%
45.2,7,0.04%,19080,96.48%
45.3,7,0.04%,19087,96.51%
45.4,6,0.03%,19093,96.54%
45.5,4,0.02%,19097,96.56%
45.6,10,0.05%,19107,96.61%
45.7,11,0.06%,19118,96.67%
45.8,10,0.05%,19128,96.72%
45.9,6,0.03%,19134,96.75%
46,5,0.03%,19139,96.77%
46.1,8,0.04%,19147,96.81%
46.2,5,0.03%,19152,96.84%
46.3,5,0.03%,19157,96.87%
46.4,4,0.02%,19161,96.89%
46.5,9,0.05%,19170,96.93%
46.6,11,0.06%,19181,96.99%
46.7,8,0.04%,19189,97.03%
46.8,5,0.03%,19194,97.05%
46.9,8,0.04%,19202,97.09%
47,10,0.05%,19212,97.14%
47.1,4,0.02%,19216,97.16%
47.2,4,0.02%,19220,97.18%
47.3,6,0.03%,19226,97.21%
47.4,4,0.02%,19230,97.23%
47.5,10,0.05%,19240,97.28%
